Run,Total Frames,Joint,Min Value,Min Frame,Max Gradient,Max Grad Frame
1,86,Ankle,82.40100694,50,4.96334829,83
2,66,Ankle,87.85542945,47,7.24567811,64
3,63,Ankle,86.79474939,44,7.198901386,60
4,65,Ankle,84.97974381,38,7.139537251,60
5,63,Ankle,83.10095317,38,5.739739,61
6,66,Ankle,85.07663735,41,7.423623362,65
7,75,Ankle,84.06144641,46,6.388213383,71
8,73,Ankle,83.9408886,48,6.230805522,70
9,80,Ankle,82.18794649,48,6.445072545,75
10,72,Ankle,85.2677226,45,7.029181528,66
11,57,Ankle,84.83983282,37,9.775824946,56
12,49,Ankle,81.29263103,27,10.01456336,48
13,88,Ankle,84.19080408,55,6.616207261,83
15,62,Ankle,85.29351611,41,6.993807185,59
16,95,Ankle,85.38036484,61,5.44500438,90
17,99,Ankle,84.81754271,64,4.607844824,93
18,95,Ankle,84.12677508,59,4.946649088,91
19,93,Ankle,81.27018102,59,5.343655445,89
20,91,Ankle,82.0516215,56,6.436695056,86
21,94,Ankle,85.09716972,66,5.040654156,91
22,98,Ankle,85.42682934,61,4.618400778,92
23,58,Ankle,83.43773508,35,7.853812998,55
25,72,Ankle,82.90747252,44,7.462266066,69
26,72,Ankle,82.90726448,44,6.551706928,68
27,79,Ankle,85.34210106,48,6.325771688,72
28,65,Ankle,84.66619823,36,7.17425085,63
29,67,Ankle,84.42352241,45,6.78763082,64
30,71,Ankle,83.25856941,42,7.195384777,65
1,86,Knee,109.939315,58,3.474283268,85
2,66,Knee,110.3238012,45,4.350560983,62
3,63,Knee,107.4187991,42,5.453035605,60
4,65,Knee,108.3909946,41,5.784354042,64
5,63,Knee,106.0497606,44,4.6878687,60
6,66,Knee,104.9586361,46,6.811484079,65
7,75,Knee,103.8816717,51,4.341124939,71
8,73,Knee,103.7472715,50,4.358112011,70
9,80,Knee,106.2007367,53,4.543337163,75
10,72,Knee,107.0664208,47,4.796710469,66
11,57,Knee,106.5759239,39,6.428453381,56
12,49,Knee,109.4184501,30,6.345944403,48
13,88,Knee,107.7899523,61,4.766594337,82
15,62,Knee,105.3351325,41,4.991968883,55
16,95,Knee,105.7289526,65,3.667865852,90
17,99,Knee,104.5851094,64,3.443611288,93
18,95,Knee,104.986479,63,3.524294537,90
19,93,Knee,102.2646068,61,3.770715249,90
20,91,Knee,103.5297492,61,4.611198915,86
21,94,Knee,108.1992085,65,3.401625244,93
22,98,Knee,105.4162328,64,3.358118332,95
23,58,Knee,107.8358088,38,5.431217957,57
25,72,Knee,104.1340861,48,5.389518644,69
26,72,Knee,107.2146018,48,5.24470868,68
27,79,Knee,105.6012765,50,4.600632617,72
28,65,Knee,111.6513803,45,4.74820025,63
29,67,Knee,105.5007279,47,4.90306305,64
30,71,Knee,104.1219047,45,4.982420798,67
1,86,Hip,132.8987787,62,1.310342073,80
2,66,Hip,125.659376,45,2.015751786,59
3,63,Hip,126.3847485,44,2.352334459,60
4,65,Hip,129.3911964,47,2.915133048,64
5,63,Hip,129.4998006,48,1.7935552,60
6,66,Hip,124.1698685,46,2.762139075,65
7,75,Hip,126.3189072,51,1.593563393,64
8,73,Hip,126.1209685,50,1.484059422,70
9,80,Hip,131.0915181,59,1.687246527,75
10,72,Hip,127.6447364,52,1.662384786,68
11,57,Hip,124.3154545,41,2.670658836,51
12,49,Hip,131.3985679,32,2.504831777,48
13,88,Hip,129.028339,61,1.748292299,82
15,62,Hip,125.837653,43,2.394403266,55
16,95,Hip,122.7855991,67,1.397456867,81
17,99,Hip,124.2396451,68,1.59594266,80
18,95,Hip,124.8981395,63,1.39443703,86
19,93,Hip,122.0174157,64,1.541597114,91
20,91,Hip,122.4707527,64,2.241938106,86
21,94,Hip,126.2633633,66,1.610075639,93
22,98,Hip,123.8334933,71,1.645523346,95
23,58,Hip,131.2461126,41,2.04997706,57
25,72,Hip,128.3177065,51,2.03562826,69
26,72,Hip,126.8021743,50,2.234917636,67
27,79,Hip,127.3587794,50,1.917146098,72
28,65,Hip,132.4564559,48,2.10109805,63
29,67,Hip,125.7312529,49,2.142681179,64
30,71,Hip,126.5146005,48,2.111093597,67
